Year,ST,STATE,OCC_CODE,OCC_TITLE,TOT_EMP,LOC_Q,H_MEAN,A_MEAN
2018,AL,Alabama,15-0000,Computer and Mathematical Occupations,"41,560",0.71,40.53,"84,290"
2018,AL,Alabama,15-1111,Computer and Information Research Scientists,**,**,66.59,"138,510"
2018,AL,Alabama,15-1121,Computer Systems Analysts,"3,910",0.49,40.84,"84,950"
2018,AL,Alabama,15-1122,Information Security Analysts,"1,150",0.79,44.47,"92,500"
2018,AL,Alabama,15-1131,Computer Programmers,"7,750",2.50,41.99,"87,340"
2018,AL,Alabama,15-1132,"Software Developers, Applications","6,210",0.51,46.35,"96,400"
2018,AL,Alabama,15-1133,"Software Developers, Systems Software","4,360",0.80,50.91,"105,890"
2018,AL,Alabama,15-1134,Web Developers,640,0.37,32.33,"67,250"
2018,AL,Alabama,15-1141,Database Administrators,"1,880",1.27,40.19,"83,580"
2018,AL,Alabama,15-1142,Network and Computer Systems Administrators,"3,850",0.78,36.72,"76,370"
2018,AL,Alabama,15-1143,Computer Network Architects,970,0.47,50.28,"104,580"
2018,AL,Alabama,15-1151,Computer User Support Specialists,"5,920",0.70,23.61,"49,120"
2018,AL,Alabama,15-1152,Computer Network Support Specialists,"1,180",0.49,28.39,"59,060"
2018,AL,Alabama,15-1199,"Computer Occupations, All Other","1,920",0.37,41.86,"87,060"
2018,AK,Alaska,15-0000,Computer and Mathematical Occupations,"5,280",0.55,38.60,"80,280"
2018,AK,Alaska,15-1121,Computer Systems Analysts,670,0.53,33.84,"70,390"
2018,AK,Alaska,15-1122,Information Security Analysts,70,0.30,50.61,"105,280"
2018,AK,Alaska,15-1131,Computer Programmers,620,1.23,41.39,"86,080"
2018,AK,Alaska,15-1132,"Software Developers, Applications",360,0.18,50.47,"104,970"
2018,AK,Alaska,15-1133,"Software Developers, Systems Software",170,0.19,52.92,"110,080"
2018,AK,Alaska,15-1134,Web Developers,150,0.53,28.84,"59,990"
2018,AK,Alaska,15-1141,Database Administrators,210,0.88,38.27,"79,600"
2018,AK,Alaska,15-1142,Network and Computer Systems Administrators,940,1.18,39.89,"82,980"
2018,AK,Alaska,15-1143,Computer Network Architects,60,0.18,45.31,"94,250"
2018,AK,Alaska,15-1151,Computer User Support Specialists,750,0.54,27.54,"57,270"
2018,AK,Alaska,15-1152,Computer Network Support Specialists,330,0.84,28.84,"59,990"
2018,AK,Alaska,15-1199,"Computer Occupations, All Other",630,0.75,47.52,"98,830"
2018,AZ,Arizona,15-0000,Computer and Mathematical Occupations,"94,060",1.11,39.97,"83,140"
2018,AZ,Arizona,15-1111,Computer and Information Research Scientists,300,0.51,53.61,"111,510"
2018,AZ,Arizona,15-1121,Computer Systems Analysts,"11,570",1.02,42.78,"88,970"
2018,AZ,Arizona,15-1122,Information Security Analysts,"2,570",1.23,45.17,"93,960"
2018,AZ,Arizona,15-1131,Computer Programmers,"3,320",0.75,46.10,"95,900"
2018,AZ,Arizona,15-1132,"Software Developers, Applications","14,130",0.81,47.44,"98,670"
2018,AZ,Arizona,15-1133,"Software Developers, Systems Software","11,500",1.47,49.93,"103,860"
2018,AZ,Arizona,15-1134,Web Developers,"2,440",0.99,33.87,"70,450"
2018,AZ,Arizona,15-1141,Database Administrators,"1,930",0.91,42.63,"88,670"
2018,AZ,Arizona,15-1142,Network and Computer Systems Administrators,"7,330",1.04,41.27,"85,850"
2018,AZ,Arizona,15-1143,Computer Network Architects,"2,550",0.87,48.92,"101,750"
2018,AZ,Arizona,15-1151,Computer User Support Specialists,"16,700",1.37,25.04,"52,090"
2018,AZ,Arizona,15-1152,Computer Network Support Specialists,"5,860",1.68,29.11,"60,550"
2018,AZ,Arizona,15-1199,"Computer Occupations, All Other","9,150",1.24,40.87,"85,010"
2018,AR,Arkansas,15-0000,Computer and Mathematical Occupations,"23,160",0.63,32.83,"68,290"
2018,AR,Arkansas,15-1111,Computer and Information Research Scientists,40,0.15,45.78,"95,220"
2018,AR,Arkansas,15-1121,Computer Systems Analysts,"3,500",0.71,34.61,"71,990"
2018,AR,Arkansas,15-1122,Information Security Analysts,890,0.98,39.28,"81,710"
2018,AR,Arkansas,15-1131,Computer Programmers,"1,910",0.99,34.39,"71,540"
2018,AR,Arkansas,15-1132,"Software Developers, Applications","3,910",0.52,42.29,"87,960"
2018,AR,Arkansas,15-1133,"Software Developers, Systems Software","1,190",0.35,41.27,"85,830"
2018,AR,Arkansas,15-1134,Web Developers,430,0.41,24.49,"50,930"
2018,AR,Arkansas,15-1141,Database Administrators,480,0.52,35.38,"73,600"
2018,AR,Arkansas,15-1142,Network and Computer Systems Administrators,"2,510",0.82,31.36,"65,220"
2018,AR,Arkansas,15-1143,Computer Network Architects,930,0.73,43.19,"89,840"
2018,AR,Arkansas,15-1151,Computer User Support Specialists,"3,890",0.74,20.28,"42,180"
2018,AR,Arkansas,15-1152,Computer Network Support Specialists,"1,770",1.17,22.20,"46,170"
2018,AR,Arkansas,15-1199,"Computer Occupations, All Other",700,0.22,35.42,"73,670"
2018,CA,California,15-0000,Computer and Mathematical Occupations,"616,270",1.20,52.01,"108,190"
2018,CA,California,15-1111,Computer and Information Research Scientists,"7,300",2.07,65.54,"136,310"
2018,CA,California,15-1121,Computer Systems Analysts,"67,950",0.98,49.97,"103,930"
2018,CA,California,15-1122,Information Security Analysts,"7,830",0.62,53.05,"110,340"
2018,CA,California,15-1131,Computer Programmers,"29,740",1.10,46.86,"97,470"
2018,CA,California,15-1132,"Software Developers, Applications","148,550",1.40,61.51,"127,950"
2018,CA,California,15-1133,"Software Developers, Systems Software","88,910",1.87,63.32,"131,700"
2018,CA,California,15-1134,Web Developers,"20,170",1.35,41.42,"86,160"
2018,CA,California,15-1141,Database Administrators,"10,970",0.85,48.50,"100,890"
2018,CA,California,15-1142,Network and Computer Systems Administrators,"36,900",0.86,47.02,"97,810"
2018,CA,California,15-1143,Computer Network Architects,"16,650",0.93,61.30,"127,500"
2018,CA,California,15-1151,Computer User Support Specialists,"70,510",0.95,31.90,"66,350"
2018,CA,California,15-1152,Computer Network Support Specialists,"17,080",0.80,36.36,"75,640"
2018,CA,California,15-1199,"Computer Occupations, All Other","74,690",1.67,49.65,"103,270"
2018,CO,Colorado,15-0000,Computer and Mathematical Occupations,"116,930",1.47,46.58,"96,880"
2018,CO,Colorado,15-1111,Computer and Information Research Scientists,480,0.88,58.26,"121,180"
2018,CO,Colorado,15-1121,Computer Systems Analysts,"8,680",0.81,46.17,"96,030"
2018,CO,Colorado,15-1122,Information Security Analysts,"3,590",1.83,49.43,"102,820"
2018,CO,Colorado,15-1131,Computer Programmers,"2,970",0.71,45.55,"94,750"
2018,CO,Colorado,15-1132,"Software Developers, Applications","30,400",1.86,51.31,"106,730"
2018,CO,Colorado,15-1133,"Software Developers, Systems Software","11,170",1.52,59.81,"124,410"
2018,CO,Colorado,15-1134,Web Developers,"2,490",1.08,37.88,"78,790"
2018,CO,Colorado,15-1141,Database Administrators,"2,710",1.36,43.95,"91,410"
2018,CO,Colorado,15-1142,Network and Computer Systems Administrators,"11,610",1.75,40.46,"84,170"
2018,CO,Colorado,15-1143,Computer Network Architects,"6,040",2.19,55.44,"115,300"
2018,CO,Colorado,15-1151,Computer User Support Specialists,"14,390",1.26,29.06,"60,440"
2018,CO,Colorado,15-1152,Computer Network Support Specialists,"3,660",1.11,35.55,"73,950"
2018,CO,Colorado,15-1199,"Computer Occupations, All Other","16,440",2.38,49.27,"102,470"
2018,CT,Connecticut,15-0000,Computer and Mathematical Occupations,"48,420",0.96,44.51,"92,590"
2018,CT,Connecticut,15-1111,Computer and Information Research Scientists,50,0.15,56.72,"117,990"
