Year,ST,STATE,OCC_CODE,OCC_TITLE,,LOC_Q,A_MEAN,H_MEAN,TOT_EMP
2016,AL,Alabama,15-0000,Computer and Mathematical Occupations,,0.68,79090,38.02,38600
2016,AL,Alabama,15-1111,Computer and Information Research Scientists,,0.85,106610,51.26,310
2016,AL,Alabama,15-1121,Computer Systems Analysts,,0.52,80230,38.57,4020
2016,AL,Alabama,15-1122,Information Security Analysts,,0.74,87030,41.84,970
2016,AL,Alabama,15-1131,Computer Programmers,,1.78,83450,40.12,6590
2016,AL,Alabama,15-1132,"Software Developers, Applications",,0.51,93340,44.87,5500
2016,AL,Alabama,15-1133,"Software Developers, Systems Software",,0.72,100170,48.16,4000
2016,AL,Alabama,15-1134,Web Developers,,0.31,58770,28.26,550
2016,AL,Alabama,15-1141,Database Administrators,,1.04,79460,38.2,1600
2016,AL,Alabama,15-1142,Network and Computer Systems Administrators,,0.86,71790,34.51,4410
2016,AL,Alabama,15-1143,Computer Network Architects,,0.4,98780,47.49,850
2016,AL,Alabama,15-1151,Computer User Support Specialists,,0.73,46870,22.53,5980
2016,AL,Alabama,15-1152,Computer Network Support Specialists,,0.41,61280,29.46,1050
2016,AL,Alabama,15-1199,"Computer Occupations, All Other",,0.51,86670,41.67,1800
2016,AK,Alaska,15-0000,Computer and Mathematical Occupations,,0.53,82860,39.84,5050
2016,AK,Alaska,15-1121,Computer Systems Analysts,,0.44,80770,38.83,580
2016,AK,Alaska,15-1122,Information Security Analysts,,0.36,93570,44.99,80
2016,AK,Alaska,15-1131,Computer Programmers,,0.91,90640,43.58,570
2016,AK,Alaska,15-1132,"Software Developers, Applications",,0.2,119120,57.27,360
2016,AK,Alaska,15-1133,"Software Developers, Systems Software",,0.12,*,*,120
2016,AK,Alaska,15-1134,Web Developers,,0.42,57110,27.46,130
2016,AK,Alaska,15-1141,Database Administrators,,0.78,77820,37.41,210
2016,AK,Alaska,15-1142,Network and Computer Systems Administrators,,1.16,85190,40.96,1010
2016,AK,Alaska,15-1143,Computer Network Architects,,0.16,115510,55.53,60
2016,AK,Alaska,15-1151,Computer User Support Specialists,,0.6,57350,27.57,830
2016,AK,Alaska,15-1152,Computer Network Support Specialists,,0.78,66900,32.17,340
2016,AK,Alaska,15-1199,"Computer Occupations, All Other",,0.82,89380,42.97,490
2016,AZ,Arizona,15-0000,Computer and Mathematical Occupations,,1.19,80250,38.58,93410
2016,AZ,Arizona,15-1111,Computer and Information Research Scientists,,0.39,108900,52.36,200
2016,AZ,Arizona,15-1121,Computer Systems Analysts,,1.41,89250,42.91,15150
2016,AZ,Arizona,15-1122,Information Security Analysts,,1.44,80910,38.9,2640
2016,AZ,Arizona,15-1131,Computer Programmers,,0.92,79970,38.45,4700
2016,AZ,Arizona,15-1132,"Software Developers, Applications",,0.93,92650,44.55,13970
2016,AZ,Arizona,15-1133,"Software Developers, Systems Software",,1.48,98440,47.33,11430
